id,edad,genero,sentimiento_serguridad,satisfaccion,covid_positivo,covid_prueba,covid_sintomas,covid_conocido_sintomas,covid_contacto_sintomas,covid_prevencion,covid_tratar,covid_atencion_puesto_salud,covid_desempleo,covid_depresion,covid_conflictos,covid_internados,covid_muerte,covid_higiene,servicio_agua,servicio_desague,servicio_telefono,servicio_internet,servicio_electricidad,cal_servicio_agua,cal_servicio_telefono,cal_servicio_internet,cal_servicio_electricidad,cal_servicio_basura,cal_servicio_seguridad,cal_servicio_mant_parq,cal_servicio_desague,muni_recojo_basura,muni_man_parques,tiempo_comercial,tiempo_cultural,tiempo_escuela,tiempo_universidad,tiempo_salud,tiempo_aux_rap,tiempo_via_principal,tiempo_iglesia,vivienda_m2,vivienda_m2_precio,vivienda_vivir_anios,vivienda_cuartos,vivienda_pisos,vivienda_banos,valoracion_vivienda,gasto_alimentos,gasto_vestido,gasto_edu,gasto_salud,gasto_transpor,gasto_diversion,alr_calles_pavimentadas,alr_zonas_verdes,alr_parques_recreativas,alr_auxilio_rap,jefe_ocu,distrito,zona,hogar_ingresos_cuantos,ingreso_familiar,f_menor18,f_hombre,f_mujer,idiomas,lugar_n
710,23,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,4,3,3,3,3,3,3,1,1,0,0,0,0,0,0,5.5,0,200,1000,5,1,3,5,1000,100,0,200,500,100,50,1,0,0,0,1,3, Ciudad universitaria,2,1000,0,1,2,1,Huancayo
711,25,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,5,1,1,0,1,1,3,3,3,4,3,1,2,3,1,1,25.5,0,0,0,0,0,0,0,0,1,5,1,2,1,0,300,0,200,100,200,0,1,0,0,0,1,3, La esperanza,1,900,0,1,1,1,Yauyos
711,25,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,5,1,1,0,1,1,3,3,3,4,3,1,2,3,1,1,0,5.5,5.5,5.5,5.5,0,5.5,5.5,0,1,5,1,2,1,0,300,0,200,100,200,0,1,0,0,0,1,3, La esperanza,1,900,0,1,1,1,Yauyos
711,25,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,5,1,1,0,1,1,3,3,3,4,3,1,2,3,1,1,0,0,0,0,0,15.5,0,0,0,1,5,1,2,1,0,300,0,200,100,200,0,1,0,0,0,1,3, La esperanza,1,900,0,1,1,1,Yauyos
712,35,0,1,5,0,0,0,0,0,250,100,0,0,0,0,0,0,4,1,1,0,1,1,3,3,3,3,3,3,3,3,1,1,15.5,15.5,0,0,0,0,0,15.5,84,1000,5,5,4,1,60000,300,100,200,200,200,150,1,0,0,0,1,3, Bantanyacu,1,1200,1,1,1,1,La libertad
712,35,0,1,5,0,0,0,0,0,250,100,0,0,0,0,0,0,4,1,1,0,1,1,3,3,3,3,3,3,3,3,1,1,0,0,5.5,5.5,5.5,5.5,5.5,0,84,1000,5,5,4,1,60000,300,100,200,200,200,150,1,0,0,0,1,3, Bantanyacu,1,1200,1,1,1,1,La libertad
713,24,0,1,3,0,0,0,1,0,50,0,0,0,0,0,0,0,3,1,1,1,1,1,3,3,3,2,2,2,2,3,1,0,90,0,0,0,0,0,0,0,250,100,3,3,3,2,25000,150,100,50,20,10,30,0,0,0,0,4,3, Saños grande,4,300,4,2,2,2,Yauli
713,24,0,1,3,0,0,0,1,0,50,0,0,0,0,0,0,0,3,1,1,1,1,1,3,3,3,2,2,2,2,3,1,0,0,25.5,0,0,0,0,0,0,250,100,3,3,3,2,25000,150,100,50,20,10,30,0,0,0,0,4,3, Saños grande,4,300,4,2,2,2,Yauli
713,24,0,1,3,0,0,0,1,0,50,0,0,0,0,0,0,0,3,1,1,1,1,1,3,3,3,2,2,2,2,3,1,0,0,0,15.5,15.5,0,0,0,0,250,100,3,3,3,2,25000,150,100,50,20,10,30,0,0,0,0,4,3, Saños grande,4,300,4,2,2,2,Yauli
713,24,0,1,3,0,0,0,1,0,50,0,0,0,0,0,0,0,3,1,1,1,1,1,3,3,3,2,2,2,2,3,1,0,0,0,0,0,5.5,0,5.5,5.5,250,100,3,3,3,2,25000,150,100,50,20,10,30,0,0,0,0,4,3, Saños grande,4,300,4,2,2,2,Yauli
